gene,MitoPathways,Symbol,GeneSymbol,Gene Symbol,Pathways
PPIAL4G,,PPIAL4G,PPIAL4G,PPIAL4G,
PPIAL4D,,PPIAL4D,PPIAL4D,PPIAL4D,
TRIM43B,,TRIM43B,TRIM43B,TRIM43B,
PPIAL4C,,PPIAL4C,PPIAL4C,PPIAL4C,
PPIAL4F,,PPIAL4F,PPIAL4F,PPIAL4F,
PPIAL4E,,PPIAL4E,PPIAL4E,PPIAL4E,
ADK,,ADK,ADK,ADK,
CCNG1,,CCNG1,CCNG1,CCNG1,
E2F4,,E2F4,E2F4,E2F4,
GTF3A,,GTF3A,GTF3A,GTF3A,
NAP1L1,,NAP1L1,NAP1L1,NAP1L1,
PSMD1,,PSMD1,PSMD1,PSMD1,
PSMD4,,PSMD4,PSMD4,PSMD4,
EIF3C,,EIF3C,EIF3C,EIF3C,
HS6ST1,,HS6ST1,HS6ST1,HS6ST1,
CAP2,,CAP2,CAP2,CAP2,
COPS6,,COPS6,COPS6,COPS6,
ECD,,ECD,ECD,ECD,
CHORDC1,,CHORDC1,CHORDC1,CHORDC1,
POMP,,POMP,POMP,POMP,
TRAPPC4,,TRAPPC4,TRAPPC4,TRAPPC4,
NOP16,,NOP16,NOP16,NOP16,
ZMAT5,,ZMAT5,ZMAT5,ZMAT5,
FTO,,FTO,FTO,FTO,
MPND,,MPND,MPND,MPND,
TXLNB,,TXLNB,TXLNB,TXLNB,
EEF1AKMT1,,EEF1AKMT1,EEF1AKMT1,EEF1AKMT1,
AP2S1,,AP2S1,AP2S1,AP2S1,
GAP43,,GAP43,GAP43,GAP43,
LAMA5,,LAMA5,LAMA5,LAMA5,
LMAN1,,LMAN1,LMAN1,LMAN1,
LMNB1,,LMNB1,LMNB1,LMNB1,
CAPRIN1,,CAPRIN1,CAPRIN1,CAPRIN1,
NEFM,,NEFM,NEFM,NEFM,
PDE2A,Signaling > cAMP-PKA signaling,PDE2A,PDE2A,PDE2A,Signaling > cAMP-PKA signaling
ATXN10,,ATXN10,ATXN10,ATXN10,
ATP2B4,,ATP2B4,ATP2B4,ATP2B4,
SERPINH1,,SERPINH1,SERPINH1,SERPINH1,
FN1,,FN1,FN1,FN1,
GUSB,,GUSB,GUSB,GUSB,
ITGB1,,ITGB1,ITGB1,ITGB1,
ITPA,,ITPA,ITPA,ITPA,
LGALS3,,LGALS3,LGALS3,LGALS3,
MSN,,MSN,MSN,MSN,
PPP2R1A,,PPP2R1A,PPP2R1A,PPP2R1A,
RPN2,,RPN2,RPN2,RPN2,
S100A4,,S100A4,S100A4,S100A4,
S100A10,,S100A10,S100A10,S100A10,
TGM2,,TGM2,TGM2,TGM2,
UBE2L3,,UBE2L3,UBE2L3,UBE2L3,
VAPA,,VAPA,VAPA,VAPA,
SELENOF,,SELENOF,SELENOF,SELENOF,
ITM2B,,ITM2B,ITM2B,ITM2B,
ERP29,,ERP29,ERP29,ERP29,
SNX12,,SNX12,SNX12,SNX12,
RTN4,,RTN4,RTN4,RTN4,
ACTB,,ACTB,ACTB,ACTB,
ACTG1,,ACTG1,ACTG1,ACTG1,
ALB,,ALB,ALB,ALB,
APOC3,,APOC3,APOC3,APOC3,
CFL1,,CFL1,CFL1,CFL1,
LGALS1,,LGALS1,LGALS1,LGALS1,
PFN1,,PFN1,PFN1,PFN1,
RPL30,,RPL30,RPL30,RPL30,
RPLP2,,RPLP2,RPLP2,RPLP2,
RPS10,,RPS10,RPS10,RPS10,
SNAP25,,SNAP25,SNAP25,SNAP25,
SNCG,,SNCG,SNCG,SNCG,
STXBP1,,STXBP1,STXBP1,STXBP1,
UCHL1,,UCHL1,UCHL1,UCHL1,
YWHAG,,YWHAG,YWHAG,YWHAG,
YWHAZ,,YWHAZ,YWHAZ,YWHAZ,
CPLX2,,CPLX2,CPLX2,CPLX2,
DSTN,,DSTN,DSTN,DSTN,
COTL1,,COTL1,COTL1,COTL1,
TAGLN3,,TAGLN3,TAGLN3,TAGLN3,
LAMTOR1,,LAMTOR1,LAMTOR1,LAMTOR1,
PLGRKT,0,PLGRKT,PLGRKT,PLGRKT,0
ABRACL,,ABRACL,ABRACL,ABRACL,
ASIC2,,ASIC2,ASIC2,ASIC2,
ZFP36L1,,ZFP36L1,ZFP36L1,ZFP36L1,
CACNB2,,CACNB2,CACNB2,CACNB2,
CHRM4,,CHRM4,CHRM4,CHRM4,
NQO1,,NQO1,NQO1,NQO1,
EIF2D,,EIF2D,EIF2D,EIF2D,
EFNA4,,EFNA4,EFNA4,EFNA4,
FGF12,,FGF12,FGF12,FGF12,
FOXM1,,FOXM1,FOXM1,FOXM1,
CENPI,,CENPI,CENPI,CENPI,
GFI1,,GFI1,GFI1,GFI1,
SP110,,SP110,SP110,SP110,
IL12A,,IL12A,IL12A,IL12A,
IRF6,,IRF6,IRF6,IRF6,
KCNA3,,KCNA3,KCNA3,KCNA3,
KRT82,,KRT82,KRT82,KRT82,
MC1R,,MC1R,MC1R,MC1R,
MCF2,,MCF2,MCF2,MCF2,
GPR143,,GPR143,GPR143,GPR143,
PDE4A,,PDE4A,PDE4A,PDE4A,
POLE2,,POLE2,POLE2,POLE2,
PTCH1,,PTCH1,PTCH1,PTCH1,
RALGDS,,RALGDS,RALGDS,RALGDS,
RPL34,,RPL34,RPL34,RPL34,
ST8SIA1,,ST8SIA1,ST8SIA1,ST8SIA1,
SLC6A9,,SLC6A9,SLC6A9,SLC6A9,
SNRPE,,SNRPE,SNRPE,SNRPE,
SPAG4,,SPAG4,SPAG4,SPAG4,
TAF6,,TAF6,TAF6,TAF6,
VIPR1,,VIPR1,VIPR1,VIPR1,
ZP2,,ZP2,ZP2,ZP2,
BFSP2,,BFSP2,BFSP2,BFSP2,
SUPT3H,,SUPT3H,SUPT3H,SUPT3H,
BARX2,,BARX2,BARX2,BARX2,
AP1S2,,AP1S2,AP1S2,AP1S2,
GLP2R,,GLP2R,GLP2R,GLP2R,
CHST2,,CHST2,CHST2,CHST2,
REC8,,REC8,REC8,REC8,
RAMP2,,RAMP2,RAMP2,RAMP2,
SEC24B,,SEC24B,SEC24B,SEC24B,
RPP38,,RPP38,RPP38,RPP38,
B4GALT7,,B4GALT7,B4GALT7,B4GALT7,
OIP5,,OIP5,OIP5,OIP5,
BTBD3,,BTBD3,BTBD3,BTBD3,
P2RX2,,P2RX2,P2RX2,P2RX2,
FAM189A1,,FAM189A1,FAM189A1,FAM189A1,
ITGB3BP,,ITGB3BP,ITGB3BP,ITGB3BP,
MMD,,MMD,MMD,MMD,
BRD1,,BRD1,BRD1,BRD1,
CIZ1,,CIZ1,CIZ1,CIZ1,
PGAP2,,PGAP2,PGAP2,PGAP2,
MAGEH1,,MAGEH1,MAGEH1,MAGEH1,
REPIN1,,REPIN1,REPIN1,REPIN1,
PDE11A,,PDE11A,PDE11A,PDE11A,
TBX22,,TBX22,TBX22,TBX22,
SLC35C2,,SLC35C2,SLC35C2,SLC35C2,
FAM178B,,FAM178B,FAM178B,FAM178B,
LIMA1,,LIMA1,LIMA1,LIMA1,
CHMP3,,CHMP3,CHMP3,CHMP3,
NUP133,,NUP133,NUP133,NUP133,
KCNK12,,KCNK12,KCNK12,KCNK12,
TTYH1,,TTYH1,TTYH1,TTYH1,
CCAR2,,CCAR2,CCAR2,CCAR2,
SCOC,,SCOC,SCOC,SCOC,
PRDM15,,PRDM15,PRDM15,PRDM15,
UNKL,,UNKL,UNKL,UNKL,
SMAP2,,SMAP2,SMAP2,SMAP2,
VPS33A,,VPS33A,VPS33A,VPS33A,
MBOAT7,,MBOAT7,MBOAT7,MBOAT7,
IRX6,,IRX6,IRX6,IRX6,
BORA,,BORA,BORA,BORA,
PRR5L,,PRR5L,PRR5L,PRR5L,
MUS81,,MUS81,MUS81,MUS81,
APOLD1,,APOLD1,APOLD1,APOLD1,
FAM107B,,FAM107B,FAM107B,FAM107B,
ZIC4,,ZIC4,ZIC4,ZIC4,
INSM2,,INSM2,INSM2,INSM2,
LMNB2,,LMNB2,LMNB2,LMNB2,
ZSCAN10,,ZSCAN10,ZSCAN10,ZSCAN10,
TMEM87B,,TMEM87B,TMEM87B,TMEM87B,
COL27A1,,COL27A1,COL27A1,COL27A1,
MICALL1,,MICALL1,MICALL1,MICALL1,
LBX2,,LBX2,LBX2,LBX2,
KLHL13,,KLHL13,KLHL13,KLHL13,
TEX30,,TEX30,TEX30,TEX30,
RP1L1,,RP1L1,RP1L1,RP1L1,
KLHDC7B,,KLHDC7B,KLHDC7B,KLHDC7B,
KLHDC3,,KLHDC3,KLHDC3,KLHDC3,
FRMD6,,FRMD6,FRMD6,FRMD6,
DIPK1C,,DIPK1C,DIPK1C,DIPK1C,
AP1S3,,AP1S3,AP1S3,AP1S3,
SGPP2,,SGPP2,SGPP2,SGPP2,
UROC1,,UROC1,UROC1,UROC1,
RTP1,,RTP1,RTP1,RTP1,
EMB,,EMB,EMB,EMB,
VPS37A,,VPS37A,VPS37A,VPS37A,
CTCFL,,CTCFL,CTCFL,CTCFL,
KRT72,,KRT72,KRT72,KRT72,
UBQLNL,,UBQLNL,UBQLNL,UBQLNL,
ZSCAN29,,ZSCAN29,ZSCAN29,ZSCAN29,
ZNF688,,ZNF688,ZNF688,ZNF688,
DCDC2B,,DCDC2B,DCDC2B,DCDC2B,
ZNF385B,,ZNF385B,ZNF385B,ZNF385B,
SLC23A3,,SLC23A3,SLC23A3,SLC23A3,
XXYLT1,,XXYLT1,XXYLT1,XXYLT1,
UBL4B,,UBL4B,UBL4B,UBL4B,
GLIS3,,GLIS3,GLIS3,GLIS3,
TCEANC,,TCEANC,TCEANC,TCEANC,
KCNG3,,KCNG3,KCNG3,KCNG3,
NSMCE1,,NSMCE1,NSMCE1,NSMCE1,
DDIAS,,DDIAS,DDIAS,DDIAS,
ETFBKMT,"Metabolism > Electron carriers > Q-linked reactions, other",ETFBKMT,ETFBKMT,ETFBKMT,"Metabolism > Electron carriers > Q-linked reactions, other"
MCOLN2,,MCOLN2,MCOLN2,MCOLN2,
LMNTD2,,LMNTD2,LMNTD2,LMNTD2,
SCML4,,SCML4,SCML4,SCML4,
TCERG1L,,TCERG1L,TCERG1L,TCERG1L,
PLCXD2,,PLCXD2,PLCXD2,PLCXD2,
TPRN,,TPRN,TPRN,TPRN,
SNAI3,,SNAI3,SNAI3,SNAI3,
ARL16,,ARL16,ARL16,ARL16,
CATSPER3,,CATSPER3,CATSPER3,CATSPER3,
SELENOV,,SELENOV,SELENOV,SELENOV,
GJC3,,GJC3,GJC3,GJC3,
ZNF445,,ZNF445,ZNF445,ZNF445,
ATP9B,,ATP9B,ATP9B,ATP9B,
LDLRAD1,,LDLRAD1,LDLRAD1,LDLRAD1,
DIPK1A,,DIPK1A,DIPK1A,DIPK1A,
SRRD,,SRRD,SRRD,SRRD,
SHISA8,,SHISA8,SHISA8,SHISA8,
IQCF6,,IQCF6,IQCF6,IQCF6,
OVOL3,,OVOL3,OVOL3,OVOL3,
GNAQ,,GNAQ,GNAQ,GNAQ,
RAD50,,RAD50,RAD50,RAD50,
DOP1A,,DOP1A,DOP1A,DOP1A,
VPS13C,,VPS13C,VPS13C,VPS13C,
AP2A1,,AP2A1,AP2A1,AP2A1,
AP2A2,,AP2A2,AP2A2,AP2A2,
AP1B1,,AP1B1,AP1B1,AP1B1,
AP2B1,,AP2B1,AP2B1,AP2B1,
ALDOC,,ALDOC,ALDOC,ALDOC,
AKR1B1,,AKR1B1,AKR1B1,AKR1B1,
ANXA4,,ANXA4,ANXA4,ANXA4,
ANXA5,,ANXA5,ANXA5,ANXA5,
APOA1,,APOA1,APOA1,APOA1,
APOE,,APOE,APOE,APOE,
APOH,,APOH,APOH,APOH,
ATP2A1,,ATP2A1,ATP2A1,ATP2A1,
ATP4A,,ATP4A,ATP4A,ATP4A,
BHMT,,BHMT,BHMT,BHMT,
CALR,,CALR,CALR,CALR,
CTSH,,CTSH,CTSH,CTSH,
DPYSL2,,DPYSL2,DPYSL2,DPYSL2,
FGB,,FGB,FGB,FGB,
GALNS,,GALNS,GALNS,GALNS,
H2AX,,H2AX,H2AX,H2AX,
HBE1,,HBE1,HBE1,HBE1,
HPRT1,,HPRT1,HPRT1,HPRT1,
HSBP1,,HSBP1,HSBP1,HSBP1,
STMN1,,STMN1,STMN1,STMN1,
MTTP,,MTTP,MTTP,MTTP,
PCMT1,,PCMT1,PCMT1,PCMT1,
PFN2,,PFN2,PFN2,PFN2,
PYGB,,PYGB,PYGB,PYGB,
RPL6,,RPL6,RPL6,RPL6,
RPL7A,,RPL7A,RPL7A,RPL7A,
RPL15,,RPL15,RPL15,RPL15,
RPL18A,,RPL18A,RPL18A,RPL18A,
RPL24,,RPL24,RPL24,RPL24,
RPL38,,RPL38,RPL38,RPL38,
RPN1,,RPN1,RPN1,RPN1,
RPS3A,,RPS3A,RPS3A,RPS3A,
RPS7,,RPS7,RPS7,RPS7,
RPS8,,RPS8,RPS8,RPS8,
RPS12,,RPS12,RPS12,RPS12,
RPS17,,RPS17,RPS17,RPS17,
RPS19,,RPS19,RPS19,RPS19,
RPS21,,RPS21,RPS21,RPS21,
RPS25,,RPS25,RPS25,RPS25,
RPS26,,RPS26,RPS26,RPS26,
RPS27A,,RPS27A,RPS27A,RPS27A,
S100A8,,S100A8,S100A8,S100A8,
SNCB,,SNCB,SNCB,SNCB,
SNCA,,SNCA,SNCA,SNCA,
VAMP2,,VAMP2,VAMP2,VAMP2,
ELOB,,ELOB,ELOB,ELOB,
TF,,TF,TF,TF,
TLN1,,TLN1,TLN1,TLN1,
TPM1,,TPM1,TPM1,TPM1,
TPM3,,TPM3,TPM3,TPM3,
EZR,,EZR,EZR,EZR,
YWHAE,,YWHAE,YWHAE,YWHAE,
YWHAH,,YWHAH,YWHAH,YWHAH,
CADPS,,CADPS,CADPS,CADPS,
ATP6V0D1,,ATP6V0D1,ATP6V0D1,ATP6V0D1,
SEC22B,,SEC22B,SEC22B,SEC22B,
EIF1,,EIF1,EIF1,EIF1,
YWHAQ,,YWHAQ,YWHAQ,YWHAQ,
IER3IP1,,IER3IP1,IER3IP1,IER3IP1,
TPPP3,,TPPP3,TPPP3,TPPP3,
CAND1,,CAND1,CAND1,CAND1,
UGGT1,,UGGT1,UGGT1,UGGT1,
STX1B,,STX1B,STX1B,STX1B,
H2BU1,,H2BU1,H2BU1,H2BU1,
RPL22L1,,RPL22L1,RPL22L1,RPL22L1,
H2BC1,,H2BC1,H2BC1,H2BC1,
LGALS9B,,LGALS9B,LGALS9B,LGALS9B,
ACTBL2,,ACTBL2,ACTBL2,ACTBL2,
OSGIN2,,OSGIN2,OSGIN2,OSGIN2,
CAV3,,CAV3,CAV3,CAV3,
EVI2A,,EVI2A,EVI2A,EVI2A,
GOLGA2,,GOLGA2,GOLGA2,GOLGA2,
PKIA,,PKIA,PKIA,PKIA,
RENBP,,RENBP,RENBP,RENBP,
TNNT1,,TNNT1,TNNT1,TNNT1,
TNNT2,,TNNT2,TNNT2,TNNT2,
LUZP1,,LUZP1,LUZP1,LUZP1,
TCAF1,,TCAF1,TCAF1,TCAF1,
ZC3H11A,,ZC3H11A,ZC3H11A,ZC3H11A,
TSSC4,,TSSC4,TSSC4,TSSC4,
ATP6AP2,,ATP6AP2,ATP6AP2,ATP6AP2,
CDK2AP2,,CDK2AP2,CDK2AP2,CDK2AP2,
TNIP1,,TNIP1,TNIP1,TNIP1,
FAM3C,,FAM3C,FAM3C,FAM3C,
P3H4,,P3H4,P3H4,P3H4,
MLLT11,,MLLT11,MLLT11,MLLT11,
B4GAT1,,B4GAT1,B4GAT1,B4GAT1,
PKIG,,PKIG,PKIG,PKIG,
PDAP1,,PDAP1,PDAP1,PDAP1,
PCNX1,,PCNX1,PCNX1,PCNX1,
ZSWIM8,,ZSWIM8,ZSWIM8,ZSWIM8,
TOGARAM1,,TOGARAM1,TOGARAM1,TOGARAM1,
ZNF346,,ZNF346,ZNF346,ZNF346,
SMPX,,SMPX,SMPX,SMPX,
EID1,,EID1,EID1,EID1,
BRI3,,BRI3,BRI3,BRI3,
IFFO1,,IFFO1,IFFO1,IFFO1,
GOLIM4,,GOLIM4,GOLIM4,GOLIM4,
C1GALT1C1,,C1GALT1C1,C1GALT1C1,C1GALT1C1,
FAM216A,,FAM216A,FAM216A,FAM216A,
WASHC3,,WASHC3,WASHC3,WASHC3,
MEMO1,,MEMO1,MEMO1,MEMO1,
MBTPS2,,MBTPS2,MBTPS2,MBTPS2,
FAM8A1,,FAM8A1,FAM8A1,FAM8A1,
WBP1L,,WBP1L,WBP1L,WBP1L,
RNF220,,RNF220,RNF220,RNF220,
EVA1B,,EVA1B,EVA1B,EVA1B,
TMEM140,,TMEM140,TMEM140,TMEM140,
PIP4P2,,PIP4P2,PIP4P2,PIP4P2,
URGCP,,URGCP,URGCP,URGCP,
C5ORF15,,C5ORF15,C5ORF15,C5ORF15,
C19ORF33,,C19ORF33,C19ORF33,C19ORF33,
POPDC3,,POPDC3,POPDC3,POPDC3,
TRIR,,TRIR,TRIR,TRIR,
HAUS3,,HAUS3,HAUS3,HAUS3,
NKAIN1,,NKAIN1,NKAIN1,NKAIN1,
ZYG11B,,ZYG11B,ZYG11B,ZYG11B,
CCDC134,,CCDC134,CCDC134,CCDC134,
WLS,,WLS,WLS,WLS,
CDK5RAP3,,CDK5RAP3,CDK5RAP3,CDK5RAP3,
LBH,,LBH,LBH,LBH,
AMMECR1L,,AMMECR1L,AMMECR1L,AMMECR1L,
TMEM101,,TMEM101,TMEM101,TMEM101,
WDR73,,WDR73,WDR73,WDR73,
CIPC,,CIPC,CIPC,CIPC,
DCAF15,,DCAF15,DCAF15,DCAF15,
BMF,,BMF,BMF,BMF,
TMEM263,,TMEM263,TMEM263,TMEM263,
C12ORF29,,C12ORF29,C12ORF29,C12ORF29,
TMEM129,,TMEM129,TMEM129,TMEM129,
GOLM2,,GOLM2,GOLM2,GOLM2,
TMEM123,,TMEM123,TMEM123,TMEM123,
TMEM219,,TMEM219,TMEM219,TMEM219,
CCDC43,,CCDC43,CCDC43,CCDC43,
C5ORF24,,C5ORF24,C5ORF24,C5ORF24,
C19ORF25,,C19ORF25,C19ORF25,C19ORF25,
AMOT,,AMOT,AMOT,AMOT,
CXORF38,,CXORF38,CXORF38,CXORF38,
FAM13C,,FAM13C,FAM13C,FAM13C,
C16ORF54,,C16ORF54,C16ORF54,C16ORF54,
INO80E,,INO80E,INO80E,INO80E,
EMC10,,EMC10,EMC10,EMC10,
TMEM119,,TMEM119,TMEM119,TMEM119,
RFLNB,,RFLNB,RFLNB,RFLNB,
SVBP,,SVBP,SVBP,SVBP,
ENHO,,ENHO,ENHO,ENHO,
C10ORF62,,C10ORF62,C10ORF62,C10ORF62,
SMIM22,,SMIM22,SMIM22,SMIM22,
WASHC1,,WASHC1,WASHC1,WASHC1,
C11ORF98,,C11ORF98,C11ORF98,C11ORF98,
POM121,,POM121,POM121,POM121,
TP53TG3,,TP53TG3,TP53TG3,TP53TG3,
RTL8A,,RTL8A,RTL8A,RTL8A,
ENOSF1,,ENOSF1,ENOSF1,ENOSF1,
DMRTC1,,DMRTC1,DMRTC1,DMRTC1,
RTL10,Mitochondrial dynamics and surveillance > Apoptosis,RTL10,RTL10,RTL10,Mitochondrial dynamics and surveillance > Apoptosis
C5ORF55,,C5ORF55,C5ORF55,C5ORF55,
CDRT15,,CDRT15,CDRT15,CDRT15,
FAM218A,,FAM218A,FAM218A,FAM218A,
WFDC10B,,WFDC10B,WFDC10B,WFDC10B,
TMEM105,,TMEM105,TMEM105,TMEM105,
TPRX1,,TPRX1,TPRX1,TPRX1,
C20ORF203,,C20ORF203,C20ORF203,C20ORF203,
TMEM249,,TMEM249,TMEM249,TMEM249,
PRAMEF11,,PRAMEF11,PRAMEF11,PRAMEF11,
PPDPFL,,PPDPFL,PPDPFL,PPDPFL,
MIR205HG,,MIR205HG,MIR205HG,MIR205HG,
TP53TG3C,,TP53TG3C,TP53TG3C,TP53TG3C,
TMEM191B,,TMEM191B,TMEM191B,TMEM191B,
TP53TG3D,,TP53TG3D,TP53TG3D,TP53TG3D,
TP53TG3B,,TP53TG3B,TP53TG3B,TP53TG3B,
KRTAP25-1,,KRTAP25-1,KRTAP25-1,KRTAP25-1,
FAM47E-STBD1,,FAM47E-STBD1,FAM47E-STBD1,FAM47E-STBD1,
LOC100996634,,LOC100996634,LOC100996634,LOC100996634,
ARMH2,,ARMH2,ARMH2,ARMH2,
RUNX1,,RUNX1,RUNX1,RUNX1,
HIP1,,HIP1,HIP1,HIP1,
LAPTM4B,,LAPTM4B,LAPTM4B,LAPTM4B,
ZFYVE21,,ZFYVE21,ZFYVE21,ZFYVE21,
TMEM43,,TMEM43,TMEM43,TMEM43,
HOPX,,HOPX,HOPX,HOPX,
SNX21,,SNX21,SNX21,SNX21,
ARHGEF25,,ARHGEF25,ARHGEF25,ARHGEF25,
ADAM10,,ADAM10,ADAM10,ADAM10,
ANXA3,,ANXA3,ANXA3,ANXA3,
CACNB3,,CACNB3,CACNB3,CACNB3,
CAPG,,CAPG,CAPG,CAPG,
CAPN2,,CAPN2,CAPN2,CAPN2,
CHRNG,,CHRNG,CHRNG,CHRNG,
TBCB,,TBCB,TBCB,TBCB,
COL4A2,,COL4A2,COL4A2,COL4A2,
VCAN,,VCAN,VCAN,VCAN,
FBN1,,FBN1,FBN1,FBN1,
FHL1,,FHL1,FHL1,FHL1,
CFH,,CFH,CFH,CFH,
IGFBP7,,IGFBP7,IGFBP7,IGFBP7,
CD82,,CD82,CD82,CD82,
MAN2A2,,MAN2A2,MAN2A2,MAN2A2,
SERPINB9,,SERPINB9,SERPINB9,SERPINB9,
PSMD7,,PSMD7,PSMD7,PSMD7,
BRD2,,BRD2,BRD2,BRD2,
TBCD,,TBCD,TBCD,TBCD,
TSPAN8,,TSPAN8,TSPAN8,TSPAN8,
CUL1,,CUL1,CUL1,CUL1,
THOC5,,THOC5,THOC5,THOC5,
PLPP1,,PLPP1,PLPP1,PLPP1,
EIF3A,,EIF3A,EIF3A,EIF3A,
MYOM1,,MYOM1,MYOM1,MYOM1,
SPAG9,,SPAG9,SPAG9,SPAG9,
NRXN3,,NRXN3,NRXN3,NRXN3,
PDE4DIP,,PDE4DIP,PDE4DIP,PDE4DIP,
TRDN,,TRDN,TRDN,TRDN,
AP3M2,,AP3M2,AP3M2,AP3M2,
TRAPPC8,,TRAPPC8,TRAPPC8,TRAPPC8,
XPO7,,XPO7,XPO7,XPO7,
TTLL5,,TTLL5,TTLL5,TTLL5,
ATP6V0A2,,ATP6V0A2,ATP6V0A2,ATP6V0A2,
CHMP2B,,CHMP2B,CHMP2B,CHMP2B,
TNPO2,,TNPO2,TNPO2,TNPO2,
PRRX2,,PRRX2,PRRX2,PRRX2,
SYTL2,,SYTL2,SYTL2,SYTL2,
CC2D1A,,CC2D1A,CC2D1A,CC2D1A,
COMMD4,,COMMD4,COMMD4,COMMD4,
FRMD4A,,FRMD4A,FRMD4A,FRMD4A,
IPO9,,IPO9,IPO9,IPO9,
PNMA8B,,PNMA8B,PNMA8B,PNMA8B,
MIER1,,MIER1,MIER1,MIER1,
KMT2C,,KMT2C,KMT2C,KMT2C,
TMEM38A,,TMEM38A,TMEM38A,TMEM38A,
MFSD11,,MFSD11,MFSD11,MFSD11,
STON2,,STON2,STON2,STON2,
UAP1L1,,UAP1L1,UAP1L1,UAP1L1,
C12ORF57,,C12ORF57,C12ORF57,C12ORF57,
LSM14B,,LSM14B,LSM14B,LSM14B,
CAMSAP1,,CAMSAP1,CAMSAP1,CAMSAP1,
ANO6,,ANO6,ANO6,ANO6,
UBR1,,UBR1,UBR1,UBR1,
SEMA3D,,SEMA3D,SEMA3D,SEMA3D,
MROH1,,MROH1,MROH1,MROH1,
ACY1,,ACY1,ACY1,ACY1,
ADD3,,ADD3,ADD3,ADD3,
GRID1,,GRID1,GRID1,GRID1,
GRID2,,GRID2,GRID2,GRID2,
GRIK1,,GRIK1,GRIK1,GRIK1,
GRIK3,,GRIK3,GRIK3,GRIK3,
GRIK4,,GRIK4,GRIK4,GRIK4,
GRIK5,,GRIK5,GRIK5,GRIK5,
INPP1,,INPP1,INPP1,INPP1,
METTL1,,METTL1,METTL1,METTL1,
SLC1A1,,SLC1A1,SLC1A1,SLC1A1,
SLC1A4,,SLC1A4,SLC1A4,SLC1A4,
SLC1A7,,SLC1A7,SLC1A7,SLC1A7,
SLC5A2,,SLC5A2,SLC5A2,SLC5A2,
SLC5A3,,SLC5A3,SLC5A3,SLC5A3,
SLC5A4,,SLC5A4,SLC5A4,SLC5A4,
SLC5A5,,SLC5A5,SLC5A5,SLC5A5,
SRP54,,SRP54,SRP54,SRP54,
PRPF18,,PRPF18,PRPF18,PRPF18,
SLC5A6,,SLC5A6,SLC5A6,SLC5A6,
CSDC2,,CSDC2,CSDC2,CSDC2,
BPNT2,,BPNT2,BPNT2,BPNT2,
PGM2,,PGM2,PGM2,PGM2,
SLC5A7,,SLC5A7,SLC5A7,SLC5A7,
LIN28A,,LIN28A,LIN28A,LIN28A,
POLR1B,,POLR1B,POLR1B,POLR1B,
ADAT3,,ADAT3,ADAT3,ADAT3,
SLC5A11,,SLC5A11,SLC5A11,SLC5A11,
SLC5A10,,SLC5A10,SLC5A10,SLC5A10,
ADAT2,,ADAT2,ADAT2,ADAT2,
SLC5A12,,SLC5A12,SLC5A12,SLC5A12,
SLC5A8,,SLC5A8,SLC5A8,SLC5A8,
SLC5A9,,SLC5A9,SLC5A9,SLC5A9,
GXYLT1,,GXYLT1,GXYLT1,GXYLT1,
GPR142,,GPR142,GPR142,GPR142,
SLC26A5,,SLC26A5,SLC26A5,SLC26A5,
LIN28B,,LIN28B,LIN28B,LIN28B,
GXYLT2,,GXYLT2,GXYLT2,GXYLT2,
ADRB3,,ADRB3,ADRB3,ADRB3,
AGTR1,,AGTR1,AGTR1,AGTR1,
ALOX15B,,ALOX15B,ALOX15B,ALOX15B,
APOC2,,APOC2,APOC2,APOC2,
KLF9,,KLF9,KLF9,KLF9,
BYSL,,BYSL,BYSL,BYSL,
CACNA1F,,CACNA1F,CACNA1F,CACNA1F,
CCND3,,CCND3,CCND3,CCND3,
CD1D,,CD1D,CD1D,CD1D,
CDC34,,CDC34,CDC34,CDC34,
DBH,,DBH,DBH,DBH,
DHCR7,,DHCR7,DHCR7,DHCR7,
DIO1,,DIO1,DIO1,DIO1,
DPH2,,DPH2,DPH2,DPH2,
EIF1AX,,EIF1AX,EIF1AX,EIF1AX,
EPB41,,EPB41,EPB41,EPB41,
EPB42,,EPB42,EPB42,EPB42,
EPOR,,EPOR,EPOR,EPOR,
F13B,,F13B,F13B,F13B,
FCGRT,,FCGRT,FCGRT,FCGRT,
GTF2A2,,GTF2A2,GTF2A2,GTF2A2,
GTF2H2,,GTF2H2,GTF2H2,GTF2H2,
HDGF,,HDGF,HDGF,HDGF,
FOXA3,,FOXA3,FOXA3,FOXA3,
HOXA1,,HOXA1,HOXA1,HOXA1,
HOXC4,,HOXC4,HOXC4,HOXC4,
EIF6,,EIF6,EIF6,EIF6,
KEL,,KEL,KEL,KEL,
MC2R,,MC2R,MC2R,MC2R,
NFX1,,NFX1,NFX1,NFX1,
PCSK5,,PCSK5,PCSK5,PCSK5,
PDE6D,,PDE6D,PDE6D,PDE6D,
PNMT,,PNMT,PNMT,PNMT,
POLR2J,,POLR2J,POLR2J,POLR2J,
PPP2CA,,PPP2CA,PPP2CA,PPP2CA,
PRRG2,,PRRG2,PRRG2,PRRG2,
RABGGTB,,RABGGTB,RABGGTB,RABGGTB,
RFXAP,,RFXAP,RFXAP,RFXAP,
RHAG,,RHAG,RHAG,RHAG,
RHCE,,RHCE,RHCE,RHCE,
ROBO1,,ROBO1,ROBO1,ROBO1,
